date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:11:49	295/295	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20May%202024%2014:11:49%20GMT	http://localhost/robots.txt		(from )
19:11:52	124952/124952	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20May%202024%2014:11:49%20GMT	http://localhost/APS/	C:/xampp/htdocs/APS/localhost/APS/index.html	(from )
19:12:10	43145/43145	---M--	200	added ('OK')	text/css	etag:%22a889-61959b84a0515%22	http://localhost/APS/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.6.15	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/assets/css/minified/main.min1f6a.css	(from http://localhost/APS/)
19:12:12	1617/1617	---M--	200	added ('OK')	application/rss+xml	etag:%228855a8ac8146426d11da701c649577e0%22	http://localhost/APS/?feed=rss2	C:/xampp/htdocs/APS/localhost/APS/indexd784.html	(from http://localhost/APS/)
19:12:12	1632/1632	---M--	200	added ('OK')	application/rss+xml	etag:%228855a8ac8146426d11da701c649577e0%22	http://localhost/APS/?feed=comments-rss2	C:/xampp/htdocs/APS/localhost/APS/indexa6da.html	(from http://localhost/APS/)
19:12:12	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20May%202024%2014:12:10%20GMT	http://fonts.googleapis.com/	C:/xampp/htdocs/APS/fonts.googleapis.com/index.html	(from http://localhost/APS/)
19:12:12	727/727	---MC-	200	added ('OK')	text/css	date:Sun,%2026%20May%202024%2014:12:11%20GMT	https://fonts.googleapis.com/css?family=Inter%3A400%2C600%7CPlus+Jakarta+Sans%3A600&display=fallback&ver=4.6.15	C:/xampp/htdocs/APS/fonts.googleapis.com/cssc1e6.css	(from http://localhost/APS/)
19:12:12	113381/113381	---M--	200	added ('OK')	text/css	etag:%221bae5-6125e1e30bbc0%22	http://localhost/APS/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	C:/xampp/htdocs/APS/localhost/APS/wp-includes/css/dist/block-library/style.minef10.css	(from http://localhost/APS/)
19:12:16	18220/18220	---MC-	200	added ('OK')	application/json	date:Sun,%2026%20May%202024%2014:12:14%20GMT	http://localhost/APS/index.php?rest_route=/wp/v2/pages/10	C:/xampp/htdocs/APS/localhost/APS/index9d6e.json	(from http://localhost/APS/)
19:12:16	800/800	---M--	200	added ('OK')	text/xml	date:Sun,%2026%20May%202024%2014:12:15%20GMT	http://localhost/APS/xmlrpc.php?rsd	C:/xampp/htdocs/APS/localhost/APS/xmlrpc0db0.php	(from http://localhost/APS/)
19:12:17	2053/2053	---M--	200	added ('OK')	application/json	date:Sun,%2026%20May%202024%2014:12:16%20GMT	http://localhost/APS/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2FAPS%2F	C:/xampp/htdocs/APS/localhost/APS/index5208.json	(from http://localhost/APS/)
19:12:18	2214/2214	---M--	200	added ('OK')	text/xml	date:Sun,%2026%20May%202024%2014:12:17%20GMT	http://localhost/APS/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2FAPS%2F&format=xml	C:/xampp/htdocs/APS/localhost/APS/indexf26f.php	(from http://localhost/APS/)
19:12:18	25717/25717	---M--	200	added ('OK')	image/svg+xml	etag:%226475-61959b8546e92%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/hero-img.svg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/hero-img.svg	(from http://localhost/APS/)
19:12:20	857/857	---M--	200	added ('OK')	image/svg+xml	etag:%22359-61959b853846a%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/building.svg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/building.svg	(from http://localhost/APS/)
19:12:20	713/713	---M--	200	added ('OK')	image/svg+xml	etag:%222c9-61959b854959b%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/shopping-bag.svg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/shopping-bag.svg	(from http://localhost/APS/)
19:12:20	877/877	---M--	200	added ('OK')	image/svg+xml	etag:%2236d-61959b85378b3%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/blog.svg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/blog.svg	(from http://localhost/APS/)
19:12:20	1452/1452	---M--	200	added ('OK')	image/svg+xml	etag:%225ac-61959b85485fe%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/portfolio.svg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/portfolio.svg	(from http://localhost/APS/)
19:12:21	21106/21106	---M--	200	added ('OK')	image/png	etag:%225272-6195a301667bf%22	http://localhost/APS/wp-content/uploads/2024/05/logo-1.png	C:/xampp/htdocs/APS/localhost/APS/wp-content/uploads/2024/05/logo-1.png	(from http://localhost/APS/)
19:12:22	7735/7735	---M--	200	added ('OK')	image/jpeg	etag:%221e37-61959b8546aae%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/graphic.jpg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/graphic.jpg	(from http://localhost/APS/)
19:12:22	9978/9978	---M--	200	added ('OK')	image/jpeg	etag:%2226fa-61959b8537c9b%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/branding.jpg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/branding.jpg	(from http://localhost/APS/)
19:12:22	6716/6716	---M--	200	added ('OK')	image/jpeg	etag:%221a3c-61959b8549d66%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/web.jpg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/web.jpg	(from http://localhost/APS/)
19:12:22	870/870	---M--	200	added ('OK')	image/svg+xml	etag:%22366-61959b8547e2d%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/passionate.svg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/passionate.svg	(from http://localhost/APS/)
19:12:23	1131/1131	---M--	200	added ('OK')	image/svg+xml	etag:%2246b-61959b8548dcb%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/professional.svg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/professional.svg	(from http://localhost/APS/)
19:12:23	1750/1750	---M--	200	added ('OK')	image/svg+xml	etag:%226d6-61959b854997f%22	http://localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/support.svg	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/inc/assets/images/starter-content/support.svg	(from http://localhost/APS/)
19:12:27	22722/22722	---M--	200	added ('OK')	text/javascript	etag:%2258c2-61959b84a66a5%22	http://localhost/APS/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.6.15	C:/xampp/htdocs/APS/localhost/APS/wp-content/themes/astra/assets/js/minified/frontend.min1f6a.js	(from http://localhost/APS/)
19:12:38	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2026%20May%202024%2014:12:36%20GMT	http://fonts.googleapis.com/robots.txt		(from http://localhost/APS/)
19:13:00	279984/279984	---MC-	200	added ('OK')	application/json	date:Sun,%2026%20May%202024%2014:12:12%20GMT	http://localhost/APS/index.php?rest_route=/	C:/xampp/htdocs/APS/localhost/APS/index52f0.json	(from http://localhost/APS/)
19:13:01	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2026%20May%202024%2014:12:50%20GMT	https://fonts.googleapis.com/robots.txt		(from http://localhost/APS/)
19:13:35	576833/576833	---M--	200	added ('OK')	image/png	etag:%228cd41-61959de4da686%22	http://localhost/APS/wp-content/uploads/2024/05/file.png	C:/xampp/htdocs/APS/localhost/APS/wp-content/uploads/2024/05/file.png	(from http://localhost/APS/)
19:13:41	748027/748027	---M--	200	added ('OK')	image/jpeg	etag:%22b69fb-61959f9b16332%22	http://localhost/APS/wp-content/uploads/2024/05/pexels-rebecca-zaal-252062-764681.jpg	C:/xampp/htdocs/APS/localhost/APS/wp-content/uploads/2024/05/pexels-rebecca-zaal-252062-764681.jpg	(from http://localhost/APS/)
